communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
200,655.2113556842635,653.2511096843201,609.3780072326847,622.6955440499344,31785.093435113933,3343,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,664.2150675249136,708.2384779548606,637.9980214770836,695.4431443548258,34147.59568107993,3111,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,661.356338915912,700.4383220816792,642.1362037294012,687.6248986240054,33855.8737369661,3141,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,688.4759742701948,729.0776430197935,665.2266524317299,715.706461480419,35240.71332975451,3226,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,702.1774368687818,716.4498068574112,680.0826665601844,704.1444360048281,35167.88181745069,3298,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,658.3745309598257,708.5806824468991,650.8680412548947,709.3476200961454,34447.91922201834,3264,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,709.5485308817865,720.0174620419414,700.6563346652482,715.3800730560288,35652.372809245775,3312,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,655.8037399366998,679.1918732824558,647.3132686565555,675.6567994040864,33385.77878078571,3244,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,686.4299517332283,711.5321814724266,675.8025446478822,704.4472434155293,34862.01633706022,3248,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,655.5230357005133,707.6555200430263,642.5443757734721,699.0030800916655,34080.553116691866,3231,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,711.9089879845358,711.8355171335174,694.703195453794,701.5071435583378,35283.394066373745,3217,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,723.3027109607015,739.175388786867,685.2464644947007,715.6021886192719,35934.11987773293,3263,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,677.1335193721108,707.0391708267277,674.9019934210971,704.4802476125309,34677.07781575282,3298,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,664.4549685577055,720.1247778247376,638.290729184838,705.4097531974892,34451.391967018004,3093,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,636.7745524716074,674.1775274724142,618.2922253576854,663.7188194669571,32647.05563337069,3110,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,666.6464810155783,725.9853884677223,671.7826561371255,731.2162629597736,35269.417509036604,3293,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,664.4953869526797,713.6181741473454,661.1640741806269,711.3972989659767,34631.82670796579,3329,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,649.5109269547061,689.6987619488249,647.9596167997263,687.273250340535,33608.41604923845,3182,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
200,648.9750632117415,694.3702502532342,646.0713018740983,689.2144794695297,33655.93564824828,3025,0,0,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
