communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
50,658.2412675185623,689.3093260641697,637.7376155517394,679.0783387871165,33276.72,3136,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,646.9311886700917,680.3609461019104,624.8598227068333,665.6467021264049,33821.98,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,607.231821957557,660.1609681337233,607.8069175538031,657.0540951592261,32746.9,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,629.7933339735581,667.7591941378917,601.4179847428247,648.842294650736,31766.79,3113,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,625.8678015041285,685.1006494229077,620.4800839541568,687.9708942698016,34115.4,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,637.3384937282866,689.3864461506174,603.9701422918663,669.9880886549623,32558.78,3223,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,650.5361682991307,695.0408128449885,647.6173382321671,693.0949261336796,33522.12,3435,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,575.2184487935248,646.3517662163911,600.6569437078657,661.7876020756675,31958.0,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,643.4086525811207,723.7936053216154,627.5803901901919,716.4485375653767,34087.26,3165,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,609.1834952092352,683.6656929633729,615.9953940096419,688.2069588303109,32545.86,2985,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,606.6000851221627,668.289598243825,600.3541521263815,664.1256429133042,31779.32,2902,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,636.7444580981576,651.3794426812999,599.5567462120423,628.3150579728647,31309.94,2968,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,628.0031618642284,718.1722486269397,606.6020833391887,703.9048629435798,34329.71,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,633.6835918565697,718.6173325327976,610.3050157773054,706.6420257051378,34502.38,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,607.6413390321889,675.7076848905624,591.343160581986,667.6543834007128,31918.12,2960,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,636.9924376873003,685.7389448751562,616.4224762172427,667.4045393179235,32478.56,3162,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,574.9599237043086,667.532675311838,573.3926704093063,666.4878397818364,32091.76,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,616.3576957534328,662.0371067969037,583.8471875981663,640.3634346933925,31285.37,2972,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,631.0709807729228,687.0254214859127,580.8799003003294,664.179253289409,33218.78,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,654.5510400786864,692.1927968396687,610.6716012843206,662.939837643425,32710.28,2995,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,609.9671976828711,662.5440102066984,582.3666627575986,646.8162318381533,31378.16,3068,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,630.1301453265925,683.4213635246093,605.3249389479355,669.4877734247272,32455.2,3037,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,633.358804463228,715.1130000668516,638.4176553079559,718.48556729667,33926.78,3365,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,606.7149702470078,635.2092075075093,590.7732103364848,626.0625674728615,30630.34,3118,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,634.4867782943386,656.6347709399379,610.5107085327004,643.7256619259948,31746.76,3145,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,647.0996761264562,697.9655570650731,632.4943909231791,686.0463280581585,33236.15,3255,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,671.4783773607433,712.1873045381792,667.6001843946066,705.1431305463974,34230.84,3353,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,624.6616381460824,685.6368978502134,616.410195614626,673.213265939017,33395.11,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
50,590.0518992173696,681.3432626759906,567.6091868880648,670.1725903160516,32689.56,4000,0,2,40,"[0.01, 0.3]","[0.01, 0.3]","[0.7, 0.99]","[0.7, 0.99]",0.5,0.5
