communication_range,Av Savings Alliance,Av Savings Contractors,Av Savings Managers,Av Savings non-Alliance,Total Fuel Used,steps,negotiation_method,joining_method,n_manager,origin_airport_x,origin_airport_y,destination_airport_x,destination_airport_y,max_bid_contractor,min_bid_auctioneer
200,793.6400343321991,843.6249756410107,723.4307934720853,796.8188150676015,39486.18,3373,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,712.6325129973868,798.0168124134051,675.9459258590294,769.490058102688,38003.49,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,739.1559103975054,798.6568024867674,714.5508788871527,787.8605097198403,38094.88,3252,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,678.6114091561957,767.7927814748303,664.5703222568156,758.4320568752438,36048.54,3297,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,724.8483312242854,804.2233409077754,700.5402409577125,788.0179473967266,37842.24,3281,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,710.8109777807161,729.0705000767698,695.2489295353819,715.3136441924083,36532.98,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,724.8963135329881,764.9344656246208,694.403540101546,744.6059500036594,36496.46,3219,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,662.7403171082512,772.5391921116004,635.7648120373865,749.9963760618834,37348.26,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,754.3499286399916,833.7377279114946,706.1144654587283,801.580752457319,38812.14,3264,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,729.2907415153172,748.5497467048409,682.0125497385545,717.0309521869991,36659.88,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,712.4525729063955,768.8584176217034,707.9072990552579,765.8282350542785,36887.3,3375,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,736.4603291380866,808.3129687879415,726.7329850159563,804.5474054989206,38552.2,3449,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,691.4506219838291,749.4182419075827,675.1589054416697,738.557097546143,35656.14,3287,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,685.422136507644,746.160643797315,683.558556906499,742.8315211668578,35617.54,3323,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,719.8366568443789,768.0727189570885,657.0904023623578,711.44424042311,36297.6,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,656.8407181653133,685.0360820135219,651.6290507485506,681.5616370690134,34261.94,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,725.6336730120017,797.1856208324317,718.0055139757566,797.3788552653801,38131.96,3397,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,666.2429662976538,736.933620902322,646.1582412437022,720.5179582110671,35792.42,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,672.6648546405215,746.2631857160409,673.5146180483379,744.4047423989949,35453.74,3218,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,709.7830296162358,770.8410284037493,698.667166255596,761.0246574250509,36662.88,3292,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,712.3528466822659,801.1279770532651,687.404947431832,788.2868118736901,37616.44,3245,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,734.461658605648,793.7104088766968,715.2003044867705,783.4865096104427,37903.58,3388,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,711.0042924829897,793.0417145838449,709.7817015786597,792.2266539809582,37631.78,3316,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,743.8779072825535,796.5048313568731,717.8149487342139,781.7525217454021,38012.98,3374,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,715.7824388541164,741.2819287616786,694.9927086647828,725.8791346322263,36681.2,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,722.3875681415191,781.5369353748956,668.4457016308193,756.8848144088367,36860.36,3341,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,728.5932267234743,779.0225563483432,700.7742317953599,768.3013921848986,37313.96,3403,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,719.7187404061474,766.6305824559197,718.0073392504728,765.4896483521366,37961.2,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,687.6914405890556,791.2804637871412,665.3687936770388,784.7928105198032,37986.8,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
200,671.1177391719327,719.8515939307565,696.3853276130889,732.7856085052492,37163.96,4000,0,2,40,"[0.01, 0.2]","[0.01, 0.2]","[0.8, 0.99]","[0.8, 0.99]",0.5,0.5
